"species","site","presence_absence","abundance"
"Acer_campestre","C73",1,1
"Acer_campestre","C82",1,1
"Acer_campestre","H13",1,3
"Acer_campestre","H23",1,2
"Acer_campestre","H82",1,1
"Acer_campestre","H84",1,6
"Acer_campestre","H94",1,3
"Acer_campestre","J04",1,3
"Acer_campestre","J47",1,6
"Acer_campestre","NB43",1,1
"Acer_campestre","NC55",1,1
"Acer_campestre","NH54",1,3
"Acer_campestre","NH64",1,2
"Acer_campestre","NH66",1,4
"Acer_campestre","NH67",1,1
"Acer_campestre","NJ42",1,1
"Acer_campestre","NN53",1,1
"Acer_campestre","NN74",1,1
"Acer_campestre","NN82",1,2
"Acer_campestre","NN95",1,3
"Acer_campestre","NO03",1,1
"Acer_campestre","NO04",1,2
"Acer_campestre","NO25",1,3
"Acer_campestre","NO33",1,4
"Acer_campestre","NO35",1,2
"Acer_campestre","NO41",1,3
"Acer_campestre","NO42",1,2
"Acer_campestre","NO43",1,2
"Acer_campestre","NS15",1,2
"Acer_campestre","NS47",1,4
"Acer_campestre","NS54",1,1
"Acer_campestre","NS56",1,10
"Acer_campestre","NS57",1,7
"Acer_campestre","NS66",1,11
"Acer_campestre","NS89",1,7
"Acer_campestre","NS98",1,3
"Acer_campestre","NS99",1,2
"Acer_campestre","NT06",1,13
"Acer_campestre","NT07",1,12
"Acer_campestre","NT09",1,2
"Acer_campestre","NT16",1,10
"Acer_campestre","NT24",1,4
"Acer_campestre","NT25",1,2
"Acer_campestre","NT26",1,11
"Acer_campestre","NT35",1,4
"Acer_campestre","NT37",1,5
"Acer_campestre","NT42",1,4
"Acer_campestre","NT46",1,11
"Acer_campestre","NT52",1,5
"Acer_campestre","NT57",1,8
"Acer_campestre","NT73",1,8
"Acer_campestre","NT74",1,4
"Acer_campestre","NT75",1,5
"Acer_campestre","NT92",1,3
"Acer_campestre","NU20",1,6
"Acer_campestre","NU21",1,6
"Acer_campestre","NX54",1,2
"Acer_campestre","NX76",1,3
"Acer_campestre","NX89",1,2
"Acer_campestre","NY00",1,6
"Acer_campestre","NY01",1,5
"Acer_campestre","NY12",1,1
"Acer_campestre","NY13",1,6
"Acer_campestre","NY17",1,2
"Acer_campestre","NY21",1,1
"Acer_campestre","NY22",1,5
"Acer_campestre","NY23",1,5
"Acer_campestre","NY30",1,3
"Acer_campestre","NY31",1,2
"Acer_campestre","NY34",1,4
"Acer_campestre","NY35",1,5
"Acer_campestre","NY36",1,5
"Acer_campestre","NY41",1,2
"Acer_campestre","NY42",1,2
"Acer_campestre","NY44",1,6
"Acer_campestre","NY45",1,6
"Acer_campestre","NY46",1,3
"Acer_campestre","NY51",1,2
"Acer_campestre","NY52",1,10
"Acer_campestre","NY55",1,5
"Acer_campestre","NY56",1,4
"Acer_campestre","NY60",1,2
"Acer_campestre","NY61",1,3
"Acer_campestre","NY62",1,8
"Acer_campestre","NY71",1,2
"Acer_campestre","NZ03",1,4
"Acer_campestre","NZ04",1,2
"Acer_campestre","NZ05",1,4
"Acer_campestre","NZ10",1,7
"Acer_campestre","NZ11",1,7
"Acer_campestre","NZ12",1,8
"Acer_campestre","NZ13",1,6
"Acer_campestre","NZ15",1,7
"Acer_campestre","NZ16",1,17
"Acer_campestre","NZ18",1,5
"Acer_campestre","NZ20",1,14
"Acer_campestre","NZ21",1,15
"Acer_campestre","NZ22",1,17
"Acer_campestre","NZ23",1,11
"Acer_campestre","NZ24",1,12
"Acer_campestre","NZ25",1,12
"Acer_campestre","NZ27",1,7
"Acer_campestre","NZ28",1,12
"Acer_campestre","NZ30",1,15
"Acer_campestre","NZ31",1,21
"Acer_campestre","NZ32",1,17
"Acer_campestre","NZ33",1,11
"Acer_campestre","NZ35",1,21
"Acer_campestre","NZ36",1,17
"Acer_campestre","NZ37",1,5
"Acer_campestre","NZ40",1,18
"Acer_campestre","NZ41",1,22
"Acer_campestre","NZ42",1,20
"Acer_campestre","NZ43",1,17
"Acer_campestre","NZ45",1,2
"Acer_campestre","NZ50",1,18
"Acer_campestre","NZ60",1,4
"Acer_campestre","NZ61",1,15
"Acer_campestre","NZ70",1,9
"Acer_campestre","NZ71",1,18
"Acer_campestre","NZ80",1,17
"Acer_campestre","NZ81",1,10
